city_name,city_code
Кубин-Айленд,KUG
Кудал,CUG
Куилпи,ULP
Куинда,CDA
Куинстаун,UEE
Куиринди,UIR
Куктаун,CTN
Кула,CLH
Кулаванья,COY
Кулата,KOH
Кулбурра,KKP
Кулгера,KGR
Кулиба,COB
Кунабарабран,COJ
Кунамбл,CNB
Кунибба,KQB
Куннамулла,CMA
Кунунурра,KNX
Курабье,CRJ
Курунди,KRD
Кутамундра,CMD
Кью,CUY
Кэттл-Крик,CTR
Клеф,CFK
Константина,CZL
Куба,KDF
Лагуат,LOO
Клагенфурт,KLU
Нахичевань,NAJ
Кабинда,CAB
Казомбо,CAV
Кангамба,CNZ
Капанда,KNP
Катумбела,CBT
Кафунфо,CFF
Квито-Кванавале,CTI
Куито,SVP
Лайтинг-Ридж,LHG
Латроуб,LTB
Лаура,LUU
Лаура-Стейшн,LUT
Леди-Эллиот-Айленд,LYT
Лейвертон,LVO
Лейк-Грегори,LGE
Лейклэнд-Даунз,LKD
Лейк-Нэш,LNH
Лей-Крик,LGH
Лейкфилд,LFP
Лейк-Эвелла,LEL
Лейнстер,LER
Леонора,LNO
Лиармонс,LEA
Лизард-Айленд,LZR
Лимбунья,LIB
Линда-Даунз,LLP
Линдеман-Айленд,LDC
Линдхерст,LTP
Лисмор,LSY
Лиссаделл,LLL
Лок,LOC
Локхард-Ривер,IRG
Лонг-Айленд,HAP
Лонгрич,LRE
Лонсестон,LST
Лон-Хилл,LWH
Лорд-Хоув-Айленд,LDH
"Лоррейн/Огастус-Даунс, Австралия",LOA
Лотусвейл,LTV
Лэнздаун,LDW
Маскара,MUW
Мехрия,MZW
Мостаганем,MQV
Луанда,LAD
Луау,UAL
Лубанго,SDD
Лузамба,LZM
Лукапа,LBZ
Лумбала,GGC
Луэна,LUO
Лаутерах,QLX
Линц,LNZ
Мабарума,USI
Мабл-Бар,MBB
Мабуиаг-Айленд,UBB
Маджи,DGE
Майнерз-Лейк,MRL
Майруда,MYO
Макартур-Ривер,MCV
Макдональд-Даунз,MNW
Маккей,MKY
Макмахон-Кэмп,MHC
Максвилл,MVH
Малга-Парк,MUP
Малка,MVK
Маллакута,XMC
Маллева,MXU
Мангеранье,MNE
Мандора,MQA
Манингрида,MNG
Манки-Миа,MJK
Маннерз-Крик,MFP
Маргарет-Ривер,MQZ
Маргарет-Ривер-Стейшн,MGV
Маргейт,MGH
Мариба,MRG
Марион-Даунз,MXD
Маркуо,MQE
Марла,MRP
Марри,RRE
Масгрейв,MVU
Маунт-Барнетт,MBN
Маунт-Буффало,MBF
Маунт-Гамбьер,MGB
Маунт-Гансон,GSN
Маунтейн-Веллей,MNV
Маунт-Иса,ISA
Маунт-Кавенаг,MKV
Маунт-Кейт,WME
Маунт-Магнет,MMG
Маунт-Сван,MSF
Маунт-Сэндфорд,MTD
Маунт-Фулл-Стоп,MFL
Маунт-Хауз,MHO
Маунт-Хотам,MHU
Мейнору,MIZ
Мейтленд,MTL
Мельбурн,MEL
Менджимап,MJP
Меримбула,MIM
Мерлуна,MLV
Мерти,RTY
Мидлмаунт,MMM
Микатарра,MKR
Милдьюра,MQL
Милингимби,MGT
Миллисент,MLR
Минлэйтон,XML
Миранда-Даунз,MWY
Миттиба,MIY
Митчелл,MTQ
Митчелл-Плато,MIH
Митчелл-Ривер,MXQ
Моаби,MGX
Монкира,ONR
Монто,MNQ
Морава,MWB
Моранба,MOV
Мори,MRZ
Морни,OXY
Морнингтон,ONG
Мороук,MRT
Мортон,MET
Моруя,MYA
Муккан,MUQ
Мулаватана,MWT
Мумба,MOO
Мураббин,MBW
Мураберри,OOR
Муттабурра,UTB
Мэриборо,MBH
Мюррей-Айленд,MYI
Офу,OFU
Маланже,MEG
Мбанза-Конго,SSY
Менонге,SPP
Оран,ORN
Паго-Паго,PPG
Намбукка-Хэдс,NBH
Намбур,NBR
Наппа-Мерри,NMR
Наппербай,NPP
Наракурт,NAC
Наррабри,NAA
Наррандера,NRA
Нарроджин,NRG
Натвуд-Даунз,UTD
Наура,NOA
Нгукурр,RPM
Николсон,NLS
Нинган,NYN
Нифти,NIF
"Норвич, шт. Нью-Йорк",OIC
Нормантон,NTN
Норсмен,NSM
Нулладжин,NLL
Нулларбор,NUR
Нумбулвар,NUB
Нунканба,NKB
Нуса,NSA
Нусавилль,NSV
Ньюкасл,NTL
Ньюмен,ZNE
Нью-Мун,NMP
Ньюри,NRY
Намибе,MSZ
Ндалатандо,NDF
Негаге,GXG
Нжива,NGV
Нзаги,NZA
Н-Рикинха,NRQ
Обан,OBA
Оверн,AVG
Огастас-Даунз,AUD
"Окичоби, шт. Флорида",OBE
Олбани,ALH
Олимпик-Дэм,OLP
Онслоу,ONS
Оракан-Мишн,AUU
Орбост,RBS
Орд-Ривер,ODR
Ориентос,OXO
Ориндж,OAG
Орфеус-Айленд,ORS
Орхид-Бич,OKB
Острал-Даунз,AWP
Оуен,OYN
Оуки,OKY
Оунпелли,OPI
Палм-Айленд,PMK
Пандана,PDN
Панди-Панди,PDE
Параберду,PBO
Парду,PRD
Паркс,PKE
Пеннешо,PEA
Пенонг,PEY
Пеперс-Палм-Бей,PBY
Пеппименарти,PEP
Перт,PER
"Порт-Джонсон, шт. Аляска",PRF
Порт-Китс,PKT
Портланд,PTJ
Порт-Линкольн,PLO
Порт-Маккуори,PQQ
Порт-Огаста,PUG
